Segment Name,Percentage of Matched Trips,Count of Matched Trips,Shared Streets Geometry ID
North Vancouver Avenue,1.8,"29,000",c898db13b9ff663dcf012d9778bbe5bf
Southeast Clinton Street,1.8,"29,100",22ae8401a644e8e137c384b452843c80
Southeast Clinton Street,1.7,"25,900",58c0452a1018cfdcf6a17ed430b4ae8a
West Burnside Street,1.7,"25,900",eeb2fab13679bd4ab7d8d99d14b2264d
Moody Avenue Trail,1.7,"26,000",be0c83456559572e3602b9416aa066fd
Hawthorne Bridge,1.7,"26,100",5e9346b4bca248ae190f5e6b987247de
Northwest 13th Avenue,1.7,"26,100",952f2ad3a7237bc045461b73f28d6841
Southeast Division Street,1.7,"26,100",d50c9548ca299db4c6560c8beb4448c6
Northwest Marshall Street,1.7,"26,200",94c4cc1441b310d5fd8aad418b93c731
Hawthorne Bridge,1.7,"26,200",b8d264e734e4fbcb4918b8c902c0acc9
Southeast Ankeny Street,1.7,"26,200",0936d7bb2b119fd6365e55173484d511
North Williams Avenue,1.7,"26,200",293eedb96b14caea77e3408dba95c260
North Williams Avenue,1.7,"26,200",beeb842506c1219d22afc3a9546d8b7b
Southeast Ankeny Street,1.7,"26,300",399985a8eadbeaed4492c9fec7f17c23
,1.7,"26,300",7759141892c67d856e2c7056a064e9fa
North Williams Avenue,1.7,"26,300",0432393e5d8883e595eb68614b3c6b3c
Vera Katz Eastbank Esplanade,1.7,"26,400",8a64f5680fa2f4760886cebed02d7db3
Northwest 13th Avenue,1.7,"26,400",9ee891c028612499f4fc849e57c6fb0f
Willamette Greenway Trail,1.7,"26,400",da55520964ce5cc578128a2c93f6f271
Northwest Flanders Street,1.7,"26,400",ce8b25c2b3f477fd471cfc52d3b5dd86
Northwest Flanders Street,1.7,"26,400",14f30a1d6771f8c2bdf46846103eeb13
Moody Avenue Trail,1.7,"26,400",d0408fd3424f9b4118f75efc403546fc
